2, 1536, Note_on_c, 9, 38, 127
2, 1536, Note_on_c, 9, 42, 90
2, 1584, Note_off_c, 9, 38, 64
2, 1584, Note_off_c, 9, 42, 64
2, 1584, Note_on_c, 9, 38, 127
2, 1584, Note_on_c, 9, 42, 90
2, 1632, Note_off_c, 9, 38, 64
2, 1632, Note_off_c, 9, 42, 64
2, 1632, Note_on_c, 9, 38, 127
2, 1632, Note_on_c, 9, 42, 90
2, 1680, Note_off_c, 9, 38, 64
2, 1680, Note_off_c, 9, 42, 64
2, 1680, Note_on_c, 9, 38, 127
2, 1680, Note_on_c, 9, 42, 90
2, 1728, Note_off_c, 9, 38, 64
2, 1728, Note_off_c, 9, 42, 64
2, 1728, Note_on_c, 9, 42, 90
2, 1776, Note_off_c, 9, 42, 64
2, 1776, Note_on_c, 9, 42, 90
2, 1824, Note_off_c, 9, 42, 64
2, 1824, Note_on_c, 9, 38, 127
2, 1824, Note_on_c, 9, 42, 90
2, 1872, Note_off_c, 9, 38, 64
2, 1872, Note_off_c, 9, 42, 64
2, 1872, Note_on_c, 9, 42, 90
2, 1920, Note_off_c, 9, 42, 64
2, 1920, Note_on_c, 9, 42, 90
2, 1968, Note_off_c, 9, 42, 64
2, 1968, Note_on_c, 9, 42, 90
2, 2016, Note_off_c, 9, 42, 64
2, 2016, Note_on_c, 9, 42, 90
2, 2064, Note_off_c, 9, 42, 64
2, 2064, Note_on_c, 9, 42, 90
2, 2112, Note_off_c, 9, 42, 64
2, 2112, Note_on_c, 9, 42, 90
2, 2160, Note_off_c, 9, 42, 64
2, 2160, Note_on_c, 9, 42, 90
2, 2208, Note_off_c, 9, 42, 64
2, 2208, Note_on_c, 9, 42, 90
2, 2256, Note_off_c, 9, 42, 64
2, 2256, Note_on_c, 9, 42, 90
2, 2304, Note_off_c, 9, 42, 64
2, 2304, Note_on_c, 9, 38, 127
2, 2304, Note_on_c, 9, 42, 90
2, 2352, Note_off_c, 9, 38, 64
2, 2352, Note_off_c, 9, 42, 64
2, 2352, Note_on_c, 9, 38, 127
2, 2352, Note_on_c, 9, 42, 90
2, 2400, Note_off_c, 9, 38, 64
2, 2400, Note_off_c, 9, 42, 64
2, 2400, Note_on_c, 9, 38, 127
2, 2400, Note_on_c, 9, 42, 90
2, 2448, Note_off_c, 9, 38, 64
2, 2448, Note_off_c, 9, 42, 64
2, 2448, Note_on_c, 9, 42, 90
2, 2496, Note_off_c, 9, 42, 64
2, 2496, Note_on_c, 9, 42, 90
2, 2544, Note_off_c, 9, 42, 64
